company_id,company_name,sector,subsector
COMP_00001,11:45 RESTAURANT,HOSPITALITY,LOUNGES AND EATERIES
COMP_00002,1XBET NIGERIA (1XBET),SPORTS/GAMING,BETTING
COMP_00003,24 ELEVEN,E-COMMERCE,ONLINE STORES
COMP_00004,247 APARTMENTS,REAL ESTATE,REAL ESTATE COMPANIES
COMP_00005,3 J'S HOTEL ABUJA,HOSPITALITY,"HOTELS, PARKS, RESORTS"
COMP_00006,3C HUB,E-COMMERCE,ONLINE STORES
COMP_00007,9MOBILE,TELECOMMUNICATIONS,GSM
COMP_00008,@BERNAKIKS_WEARS,E-COMMERCE,ONLINE STORES
COMP_00009,A.J DAN PULLO TRANSPORT SERVICE NIG. L.T.D,TRANSPORTATION,INTER-STATE
COMP_00010,ABA POWER LIMITED,POWER,POWER
COMP_00011,ABC CARGO EXPRESS,TRANSPORTATION,INTER-STATE
COMP_00012,ABC TRANSPORT,TRANSPORTATION,INTER-STATE
COMP_00013,ABEGI,HOSPITALITY,"HOTELS, PARKS, RESORTS"
COMP_00014,ABEOKUTA TEACHING HOSPITAL,HEALTHCARE,PUBLIC HEALTH INSTITUTION
COMP_00015,ABIA STATE POLYTECHNIC [ABIA POLY],UNIVERSITIES,PUBLIC UNIVERSITIES
COMP_00016,ABIA STATE TEACHING HOSPITAL,HEALTHCARE,PUBLIC HEALTH INSTITUTION
COMP_00017,ABIA STATE UNIVERSITY [ABSU],UNIVERSITIES,PUBLIC UNIVERSITIES
COMP_00018,ABIGAIL GARDEN PARK,HOSPITALITY,"HOTELS, PARKS, RESORTS"
COMP_00019,ABSTRACT,HOSPITALITY,"HOTELS, PARKS, RESORTS"
COMP_00020,ABUBAKAR TAFAWA BALEWA UNIVERSITY TEACHING HOSPITAL,HEALTHCARE,PUBLIC HEALTH INSTITUTION
COMP_00021,"ABUBAKAR TAFAWA BALEWA UNIVERSITY, BAUCHI [ATBU]",UNIVERSITIES,PUBLIC UNIVERSITIES
COMP_00022,ABUJA AGENTS,REAL ESTATE,REAL ESTATE COMPANIES
COMP_00023,ABUJA CONTINENTAL HOTEL,HOSPITALITY,"HOTELS, PARKS, RESORTS"
COMP_00024,ABUJA ELECTRICITY DISTRIBUTION COMPANY [ABEDC],POWER,POWER
COMP_00025,ABUJA INTERCONTINENTAL,HOSPITALITY,"HOTELS, PARKS, RESORTS"
COMP_00026,ACADEMY HOSPITAL,HEALTHCARE,PRIVATE HEALTH INSTITUTION
