comp_inte_with,Attribute,Average_score
 ABIA STATE POLYTECHNIC [ABIA POLY],orde_of_impo,1.0
 ABIA STATE POLYTECHNIC [ABIA POLY],orde_of_impo_1,8.0
 ABIA STATE POLYTECHNIC [ABIA POLY],orde_of_impo_2,2.0
 ABIA STATE POLYTECHNIC [ABIA POLY],orde_of_impo_3,4.0
 ABIA STATE POLYTECHNIC [ABIA POLY],orde_of_impo_4,5.0
 ABIA STATE POLYTECHNIC [ABIA POLY],orde_of_impo_5,3.0
 ABIA STATE POLYTECHNIC [ABIA POLY],orde_of_impo_6,6.0
 ABIA STATE POLYTECHNIC [ABIA POLY],orde_of_impo_7,7.0
11:45 RESTAURANT,orde_of_impo,1.0
11:45 RESTAURANT,orde_of_impo_1,7.0
11:45 RESTAURANT,orde_of_impo_2,2.0
11:45 RESTAURANT,orde_of_impo_3,8.0
11:45 RESTAURANT,orde_of_impo_4,6.0
11:45 RESTAURANT,orde_of_impo_5,4.0
11:45 RESTAURANT,orde_of_impo_6,5.0
11:45 RESTAURANT,orde_of_impo_7,3.0
1XBET NIGERIA (1XBET),orde_of_impo,5.673684210526316
1XBET NIGERIA (1XBET),orde_of_impo_1,4.631578947368421
1XBET NIGERIA (1XBET),orde_of_impo_2,2.789473684210526
1XBET NIGERIA (1XBET),orde_of_impo_3,3.9894736842105263
1XBET NIGERIA (1XBET),orde_of_impo_4,4.4526315789473685
1XBET NIGERIA (1XBET),orde_of_impo_5,4.88421052631579
1XBET NIGERIA (1XBET),orde_of_impo_6,4.5473684210526315
1XBET NIGERIA (1XBET),orde_of_impo_7,5.031578947368421
24 ELEVEN,orde_of_impo,2.0
24 ELEVEN,orde_of_impo_1,8.0
24 ELEVEN,orde_of_impo_2,3.0
24 ELEVEN,orde_of_impo_3,5.0
24 ELEVEN,orde_of_impo_4,7.0
24 ELEVEN,orde_of_impo_5,6.0
24 ELEVEN,orde_of_impo_6,4.0
24 ELEVEN,orde_of_impo_7,1.0
247 APARTMENTS,orde_of_impo,8.0
247 APARTMENTS,orde_of_impo_1,7.0
247 APARTMENTS,orde_of_impo_2,6.0
247 APARTMENTS,orde_of_impo_3,4.0
247 APARTMENTS,orde_of_impo_4,5.0
247 APARTMENTS,orde_of_impo_5,3.0
247 APARTMENTS,orde_of_impo_6,2.0
247 APARTMENTS,orde_of_impo_7,1.0
3 J'S HOTEL ABUJA,orde_of_impo,7.0
3 J'S HOTEL ABUJA,orde_of_impo_1,6.0
3 J'S HOTEL ABUJA,orde_of_impo_2,4.0
3 J'S HOTEL ABUJA,orde_of_impo_3,3.0
3 J'S HOTEL ABUJA,orde_of_impo_4,2.0
3 J'S HOTEL ABUJA,orde_of_impo_5,1.0
3 J'S HOTEL ABUJA,orde_of_impo_6,5.0
3 J'S HOTEL ABUJA,orde_of_impo_7,8.0
3C HUB,orde_of_impo,8.0
3C HUB,orde_of_impo_1,7.0
3C HUB,orde_of_impo_2,1.0
3C HUB,orde_of_impo_3,2.0
3C HUB,orde_of_impo_4,6.0
3C HUB,orde_of_impo_5,3.0
3C HUB,orde_of_impo_6,5.0
3C HUB,orde_of_impo_7,4.0
9MOBILE,orde_of_impo,5.5514018691588785
9MOBILE,orde_of_impo_1,4.757009345794392
9MOBILE,orde_of_impo_2,2.542056074766355
9MOBILE,orde_of_impo_3,4.154205607476635
