company_name,sector,count_of_responses,count_of_promoters,count_of_detractors,count_of_passives,nps_score
 ABIA STATE POLYTECHNIC [ABIA POLY],633,1,0,1,0,-100.0
11:45 RESTAURANT,9,1,0,0,1,0.0
1XBET NIGERIA (1XBET),634,95,4,59,32,-57.89473684210527
24 ELEVEN,7,1,1,0,0,100.0
247 APARTMENTS,632,1,1,0,0,100.0
3 J'S HOTEL ABUJA,9,1,1,0,0,100.0
3C HUB,7,1,1,0,0,100.0
9MOBILE,2,214,6,174,34,-78.50467289719626
@BERNAKIKS_WEARS,7,2,2,0,0,100.0
A.J DAN PULLO TRANSPORT SERVICE NIG. L.T.D,5,2,1,0,1,50.0
ABA POWER LIMITED [APL ELECTRIC COMPANY LIMITED],6,10,0,8,2,-80.0
ABC CARGO EXPRESS,5,1,0,1,0,-100.0
ABC TRANSPORT,5,77,28,17,32,14.285714285714285
ABEGI,9,2,2,0,0,100.0
ABEOKUTA TEACHING HOSPITAL,4,1,0,1,0,-100.0
ABIA STATE TEACHING HOSPITAL,4,2,0,2,0,-100.0
ABIA STATE UNIVERSITY [ABSU],633,16,0,8,8,-50.0
ABIGAIL GARDEN PARK,9,1,0,1,0,-100.0
ABSTRACT,9,1,1,0,0,100.0
"ABUBAKAR TAFAWA BALEWA UNIVERSITY, BAUCHI [ATBU]",633,1,0,1,0,-100.0
ABUJA AGENTS,632,1,0,1,0,-100.0
ABUJA CONTINENTAL HOTEL,9,2,2,0,0,100.0
ABUJA ELECTRICITY DISTRIBUTION COMPANY [ABEDC],6,249,18,164,67,-58.63453815261044
ABUJA INTERCONTINENTAL,9,1,0,0,1,0.0
ABUTH - BAUCHI,4,5,2,2,1,0.0
ABUTH - KADUNA,4,1,0,0,1,0.0
ABUTH - KANO,4,7,0,4,3,-57.14285714285714
"ABUTH, ZARIA",4,2,1,1,0,0.0
ACADEMY HOSPITAL,4,1,0,1,0,-100.0
ACCESS ARM PENSIONS,1,3,0,1,2,-33.33333333333333
ACCESS BANK,1,562,95,291,176,-34.87544483985765
ACCESS PENSIONS,3,5,0,2,3,-40.0
ACE REAL ESTATE,632,1,1,0,0,100.0
ADAELU ESTATE,632,5,4,0,1,80.0
ADAMAWA STATE UNIVERSITY [ADSU],633,1,0,1,0,-100.0
ADAMAWA SUNSHINE TERMINUS,5,4,1,2,1,-25.0
ADBOND HARVEST AND HOMES,632,2,2,0,0,100.0
ADE SALM PROPERTY,632,1,0,0,1,0.0
ADEKUNLE AJASIN UNIVERSITY,633,2,0,1,1,-50.0
ADEMOLA,4,2,0,2,0,-100.0
ADENLE HOSPITAL ILESHA,4,2,0,2,0,-100.0
ADEOYO HOSPITAL,4,3,0,2,1,-66.66666666666666
ADONAI HOSPITAL MARAR,4,1,0,0,1,0.0
ADRON HOMES,632,193,43,79,71,-18.65284974093264
AELLA MICROFINANCE BANK,1,1,1,0,0,100.0
AERO CONTRACTORS,5,3,1,1,1,0.0
"AFE BABALOLA UNIVERSITY, EKITI [ABUAD]",633,41,17,13,11,9.75609756097561
AFRIEX,1,3,0,0,3,0.0
