subsector,cx_score
AVIATION,0.7462596966859345
BANKING,0.6584699342302434
BETTING,0.6705133975155435
EMBASSIES & MISSIONS ABROAD,0.7084820313720569
FINTECH,0.7293236472713981
GENERAL INSURANCE,0.6661114308149763
GOVERNMENT MINISTRIES & AGENCIES,0.5127457014739071
GSM,0.67729004296929
HEALTH MANAGEMENT ORGANIZATION,0.6392137210393989
"HOTELS, PARKS, RESORTS",0.7508824986370748
INTER-STATE,0.6157397832490594
INTRA-CITY,0.5562841974738534
ISP,0.6758120573332214
LOUNGES AND EATERIES,0.7154676717006391
ONLINE STORES,0.7487495243823485
OTHERS,0.7941083941083941
POWER,0.511868454630273
PRIVATE HEALTH INSTITUTION,0.7050455909717404
PRIVATE UNIVERSITIES,0.7686624936209772
PUBLIC HEALTH INSTITUTION,0.5685261416460334
PUBLIC UNIVERSITIES,0.642850525824843
REAL ESTATE COMPANIES,0.72163593539578
