company_id,comp_inte_with,sect
COMP_00001, ABIA STATE POLYTECHNIC [ABIA POLY],633
COMP_00002,11:45 RESTAURANT,9
COMP_00003,1XBET NIGERIA (1XBET),634
COMP_00004,24 ELEVEN,7
COMP_00005,247 APARTMENTS,632
COMP_00006,3 J'S HOTEL ABUJA,9
COMP_00007,3C HUB,7
COMP_00008,9MOBILE,2
COMP_00009,@BERNAKIKS_WEARS,7
COMP_00010,A.J DAN PULLO TRANSPORT SERVICE NIG. L.T.D,5
COMP_00011,ABA POWER LIMITED [APL ELECTRIC COMPANY LIMITED],6
COMP_00012,ABC CARGO EXPRESS,5
COMP_00013,ABC TRANSPORT,5
COMP_00014,ABEGI,9
COMP_00015,ABEOKUTA TEACHING HOSPITAL,4
COMP_00016,ABIA STATE TEACHING HOSPITAL,4
COMP_00017,ABIA STATE UNIVERSITY [ABSU],633
COMP_00018,ABIGAIL GARDEN PARK,9
COMP_00019,ABSTRACT,9
COMP_00020,"ABUBAKAR TAFAWA BALEWA UNIVERSITY, BAUCHI [ATBU]",633
COMP_00021,ABUJA AGENTS,632
COMP_00022,ABUJA CONTINENTAL HOTEL,9
COMP_00023,ABUJA ELECTRICITY DISTRIBUTION COMPANY [ABEDC],6
COMP_00024,ABUJA INTERCONTINENTAL,9
COMP_00025,ABUTH - BAUCHI,4
COMP_00026,ABUTH - KADUNA,4
COMP_00027,ABUTH - KANO,4
COMP_00028,"ABUTH, ZARIA",4
COMP_00029,ACADEMY HOSPITAL,4
COMP_00030,ACCESS ARM PENSIONS,1
COMP_00031,ACCESS BANK,1
COMP_00032,ACCESS PENSIONS,3
COMP_00033,ACE REAL ESTATE,632
COMP_00034,ADAELU ESTATE,632
COMP_00035,ADAMAWA STATE UNIVERSITY [ADSU],633
COMP_00036,ADAMAWA SUNSHINE TERMINUS,5
COMP_00037,ADBOND HARVEST AND HOMES,632
COMP_00038,ADE SALM PROPERTY,632
COMP_00039,ADEKUNLE AJASIN UNIVERSITY,633
COMP_00040,ADEMOLA,4
COMP_00041,ADENLE HOSPITAL ILESHA,4
COMP_00042,ADEOYO HOSPITAL,4
COMP_00043,ADONAI HOSPITAL MARAR,4
COMP_00044,ADRON HOMES,632
COMP_00045,AELLA MICROFINANCE BANK,1
COMP_00046,AERO CONTRACTORS,5
COMP_00047,"AFE BABALOLA UNIVERSITY, EKITI [ABUAD]",633
COMP_00048,AFRIEX,1
COMP_00049,AFRIGLOBALCOM LIMITEDBAL MEDICARE,4
COMP_00050,AFRIMASH,7
COMP_00051,AFRINVEST,1
COMP_00052,AGBOJU HEALTH CENTER,4
COMP_00053,AGODI GARDENS,9
COMP_00054,AGOFUURE MOTORS,5
COMP_00055,"AHMADU BELLO UNIVERSITY, ZARIA [ABU]",633
COMP_00056,AHMED MUSA LOUNGE KD,9
COMP_00057,AIICO INSURANCE [AIICO],3
COMP_00058,"AIR FORCE HOSPITAL, JOS",4
COMP_00059,AIR FRANCE,5
COMP_00060,AIR PEACE,5
COMP_00061,AIRTEL,2
COMP_00062,AIYETORO MEDICAL,4
COMP_00063,AJAYI CROWTHER UNIVERSITY [ACU],633
COMP_00064,AKK HOTEL LOKOJA,9
COMP_00065,AKWA IBOM ELECTRICITY DISTRIBUTION COMPANY,6
COMP_00066,AKWA IBOM STATE POLYTECHNIC,633
COMP_00067,AKWA IBOM STATE UNIVERSITY [AKSU],633
COMP_00068,AKWA IBOM TRANSPORT COMPANY,5
COMP_00069,AL-MUNIFF HOSPITAL KADUNA,4
COMP_00070,ALBINA MEJEEL SPECIALIST HOSPITAL IBA OJO LAGOS,4
COMP_00071,ALIBABA POWER LIMITED [APL ELECTRIC COMPANY LIMITED],7
COMP_00072,ALIEXPRESS,7
COMP_00073,ALIFORT HOSPITAL,4
COMP_00074,ALIMOSHO GENERAL HOSPITAL,4
COMP_00075,ALIYYAH HOTELS,9
COMP_00076,ALL PUBLIC UNIVERSITIES,633
COMP_00077,ALL SEASONS HOTEL OWERRI,9
COMP_00078,ALL SOULS HOSPITAL,4
COMP_00079,ALLIANCE HOSPITAL ABUJA,4
COMP_00080,ALLIANZ HMO [ALLIANZ],3
COMP_00081,ALLSTATE EXPRESS TRANSPORT CO. LTD,5
COMP_00082,ALPHA CLINIC,4
COMP_00083,ALPHA GAME AND RESORT,9
COMP_00084,ALPHA NOBIS,632
COMP_00085,AM BAKERY AND RESTAURANTS,9
COMP_00086,AMADHIA,4
COMP_00087,AMALA SKY,9
COMP_00088,AMALA TAX OFFICE,9
COMP_00089,AMALA TIWA N TIWA,9
COMP_00090,AMALA TSQUARE,9
COMP_00091,AMAZON HOTEL,9
COMP_00092,AMAZON KAYAK ABUJA,9
COMP_00093,AMAZONIA RESTAURANT,9
COMP_00094,AMBER RESIDENT,9
COMP_00095,AMBROSE ALLI UNIVERSITY [AAU],633
