i,sect,over_sati_with,comp_with_whic,comp_inte_with,trus_exte_of,prof_exte_of,bran_bran_outl,comp_exte_of,ease_of_doin,proc_and_proc,cust_focu_inno,enga_with_cust,orde_of_impo,orde_of_impo_1,orde_of_impo_2,orde_of_impo_3,orde_of_impo_4,orde_of_impo_5,orde_of_impo_6,orde_of_impo_7,impr_on_cust,pref_of_serv,sati_diss,like_to_reco,mean_of_inte,chan_of_inte,gend,ag,regi,high_educ,inco,nati,awar_of_surv,company_id,impr_on_cust_sentiment,nps_category,age_category,income_category
7784,2,0.2857142857142857,"Globalcom Limited,",GLOBALCOM LIMITED,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,0.875,0.125,0.25,0.75,0.375,0.5,0.625,Dissatisfied,6,3,2,Both Digital and Traditional Channels,"In Writing,Website,In Person,",Male,35 - 39,Edo,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N151,000 - N199,000",Nigerian,Agbonta Daniel Ojieh,COMP_00565,NEGATIVE,detractor,Mid-Career,Middle-High Income
7785,2,0.7142857142857143,"9mobile,",9MOBILE,1.0,0.42857142857142855,1.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.375,0.625,0.875,0.5,0.125,0.25,0.75,Fair Enough,7,4,2,Traditional Channels,"In Person,",Male,25 - 29,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N41,000 - N60,000",Nigerian,Agnes Okoh,COMP_00007,NEUTRAL,detractor,Early Career,Low Income
27553,1,0.14285714285714285,"ACCESS ARM PENSIONS,",ACCESS ARM PENSIONS,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.0,0.75,0.125,0.625,0.25,0.5,0.375,0.875,Not satisfied,1,1,0,Both Digital and Traditional Channels,"Mobile App,In Person,In Writing,Email,Text/Over the Phone,",Male,40 - 49,Gombe,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N300,000 - N500,000",Nigerian,JY202748,COMP_00027,NEGATIVE,detractor,Experienced Professionals,Middle-High Income
7812,1,0.2857142857142857,"ACCESS BANK,",ACCESS BANK,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.0,0.75,0.375,0.5,0.625,0.125,0.25,0.875,Poor,7,2,1,Both Digital and Traditional Channels,"Mobile App,Text/Over the Phone,",Female,40 - 49,,"Masters, Professorial, Doctorate, Professional Certification","N200,000 - N300,000",Nigerian,Via My Organization,COMP_00028,NEGATIVE,detractor,Experienced Professionals,Middle-High Income
7864,1,0.7142857142857143,"ACCESS BANK,",ACCESS BANK,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.7142857142857143,1.0,0.5,0.25,0.125,0.375,0.625,0.75,0.875,PROFESSIONLISM,7,5,3,Digital Channels,"Social Media,",Female,35 - 39,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N300,000 - N500,000",Nigerian,Via My Organization,COMP_00028,NEUTRAL,detractor,Mid-Career,Middle-High Income
7927,1,0.7142857142857143,"ACCESS BANK,",ACCESS BANK,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.875,0.75,0.625,0.5,0.375,1.0,0.25,0.125,It can be frustrating because you will be left unattended to for so long,7,5,6,Both Digital and Traditional Channels,"Text/Over the Phone,In Person,",Female,25 - 29,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N100,000 - N150,000",Nigerian,PJ0034,COMP_00028,NEGATIVE,detractor,Early Career,Lower-Middle Income
7969,1,0.7142857142857143,"ACCESS BANK,",ACCESS BANK,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,1.0,1.0,1.0,0.7142857142857143,0.75,0.375,0.875,0.625,0.5,0.25,1.0,0.125,Awesome,7,7,9,Both Digital and Traditional Channels,"Email,Social Media,In Person,Mobile App,",Female,30 - 34,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N300,000 - N500,000",Nigerian,WAACSP ECOWAS,COMP_00028,POSITIVE,promoter,Mid-Level Professionals,Middle-High Income
7972,1,1.0,"ACCESS BANK,",ACCESS BANK,1.0,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,1.0,0.7142857142857143,0.625,1.0,0.25,0.125,0.375,0.75,0.5,0.875,Very impressive,7,7,8,Both Digital and Traditional Channels,"Mobile App,Email,In Person,Social Media,",Female,30 - 34,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N300,000 - N500,000",Nigerian,EU0044,COMP_00028,POSITIVE,passive,Mid-Level Professionals,Middle-High Income
8007,1,0.7142857142857143,"ACCESS BANK,",ACCESS BANK,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.875,0.25,0.125,0.375,0.75,0.5,0.625,They always have issues with uneplainable charges,4,5,3,Both Digital and Traditional Channels,"Text/Over the Phone,In Person,",Female,40 - 49,Lagos,"Masters, Professorial, Doctorate, Professional Certification","N300,000 - N500,000",Nigerian,TR0023,COMP_00028,NEGATIVE,detractor,Experienced Professionals,Middle-High Income
8124,1,0.8571428571428571,"ACCESS BANK,",ACCESS BANK,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.25,0.5,0.125,1.0,0.375,0.625,0.75,0.875,Not bad,6,6,6,Both Digital and Traditional Channels,"In Person,",Female,25 - 29,Bayelsa,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N151,000 - N199,000",Nigerian,,COMP_00028,POSITIVE,detractor,Early Career,Middle-High Income
8383,1,0.5714285714285714,"ACCESS BANK,",ACCESS BANK,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.375,0.125,0.25,0.5,0.75,0.625,0.875,1.0,Good,5,4,7,Both Digital and Traditional Channels,"Text/Over the Phone,",Male,30 - 34,Osun,"Masters, Professorial, Doctorate, Professional Certification","N200,000 - N300,000",Nigerian,"Via Mass Media (Radio, Tv, Newspaper)",COMP_00028,POSITIVE,passive,Mid-Level Professionals,Middle-High Income
7795,2,0.2857142857142857,"Globalcom Limited ,MOBILE TELECOMMUNICATIONS NETWORK (MTN) ,Airtel,9mobile,",GLOBALCOM LIMITED,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.875,0.5,0.125,0.25,0.625,0.75,0.375,1.0,Poor,7,2,2,Both Digital and Traditional Channels,"In Person,Social Media,Text/Over the Phone,",Female,35 - 39,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Business Person/Income Not Fixed,Nigerian,Agnes Okoh,COMP_00565,NEGATIVE,detractor,Mid-Career,Income not fixed
7796,2,0.2857142857142857,"Globalcom Limited,MOBILE TELECOMMUNICATIONS NETWORK (MTN) ,Airtel,9mobile,",GLOBALCOM LIMITED,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.875,0.5,0.125,0.25,0.625,0.75,0.375,1.0,Poor,7,2,2,Both Digital and Traditional Channels,"In Person,Social Media,Text/Over the Phone,",Female,35 - 39,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Business Person/Income Not Fixed,Nigerian,Agnes Okoh,COMP_00565,NEGATIVE,detractor,Mid-Career,Income not fixed
8425,1,1.0,"ACCESS BANK,",ACCESS BANK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.625,0.125,0.25,0.5,0.375,0.75,0.875,Their services are top notch,7,7,10,Both Digital and Traditional Channels,"In Person,Text/Over the Phone,Social Media,",Female,25 - 29,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N41,000 - N60,000",Nigerian,IL002,COMP_00028,POSITIVE,promoter,Early Career,Low Income
8610,1,0.5714285714285714,"ACCESS BANK,",ACCESS BANK,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.7142857142857143,1.0,0.375,0.125,0.25,0.5,0.625,0.75,0.875,Effective customer experience is the determination.,7,5,6,Digital Channels,"Email,",Female,35 - 39,Lagos,"Masters, Professorial, Doctorate, Professional Certification","N300,000 - N500,000",Nigerian,Via Whatsapp Group,COMP_00028,POSITIVE,detractor,Mid-Career,Middle-High Income
8689,1,0.8571428571428571,"ACCESS BANK,",ACCESS BANK,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.8571428571428571,1.0,0.7142857142857143,0.75,0.625,0.125,0.25,0.875,1.0,0.5,0.375,Good,6,6,10,Both Digital and Traditional Channels,"Mobile App,Email,In Person,",Female,30 - 34,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N100,000 - N150,000",Nigerian,OT0043,COMP_00028,POSITIVE,promoter,Mid-Level Professionals,Lower-Middle Income
8769,1,1.0,"ACCESS BANK,",ACCESS BANK,1.0,1.0,0.7142857142857143,1.0,0.8571428571428571,1.0,1.0,0.7142857142857143,0.25,0.75,0.125,0.5,0.625,1.0,0.375,0.875,It takes time for complaint to be resolved.,3,7,10,Digital Channels,"Text/Over the Phone,",Female,30 - 34,Ogun,"Masters, Professorial, Doctorate, Professional Certification","N100,000 - N150,000",Nigerian,MS0010,COMP_00028,NEUTRAL,promoter,Mid-Level Professionals,Lower-Middle Income
8806,1,0.7142857142857143,"ACCESS BANK,",ACCESS BANK,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.5,0.125,0.375,0.75,0.625,0.25,0.875,There's room for improvement,7,5,6,Both Digital and Traditional Channels,"Social Media,Text/Over the Phone,Email,Mobile App,In Person,",Female,30 - 34,Abuja,"Masters, Professorial, Doctorate, Professional Certification",Business Person/Income Not Fixed,Nigerian,DS006,COMP_00028,POSITIVE,detractor,Mid-Level Professionals,Income not fixed
8901,1,0.7142857142857143,"ACCESS BANK,",ACCESS BANK,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.7142857142857143,1.0,0.625,0.75,0.125,0.5,0.875,0.25,0.375,They can do better,7,6,10,Both Digital and Traditional Channels,"Mobile App,",Female,25 - 29,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N151,000 - N199,000",Nigerian,Via My Organization,COMP_00028,NEUTRAL,promoter,Early Career,Middle-High Income
8902,1,1.0,"ACCESS BANK,",ACCESS BANK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.375,0.125,0.25,0.5,0.625,0.75,0.875,ACCESS BANK stand out for quality service,7,7,10,Both Digital and Traditional Channels,"Mobile App,Webchat,Email,Social Media,In Writing,In Person,Text/Over the Phone,Website,",Female,25 - 29,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N41,000 - N60,000",Nigerian,WAASCP,COMP_00028,POSITIVE,promoter,Early Career,Low Income
7804,6,0.2857142857142857,"ABUJA ELECTRICITY DISTRIBUTION COMPANY [ABEDC],",ABUJA ELECTRICITY DISTRIBUTION COMPANY [ABEDC],0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.5,0.125,0.375,0.75,0.875,0.25,0.625,It is very poor and very frustrating I would have preferred another option if it was available thanks,2,1,0,Traditional Channels,"In Writing,In Person,",Male,30 - 34,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Business Person/Income Not Fixed,Nigerian,,COMP_00024,NEGATIVE,detractor,Mid-Level Professionals,Income not fixed
22722,4,0.5714285714285714,"Abeokuta Teaching hospital,",ABEOKUTA TEACHING HOSPITAL,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.375,0.125,0.625,0.25,1.0,0.875,0.75,"Too much billing, not enough hospital facilities, equipment and poor medical services",4,4,5,Traditional Channels,"In Person,",Female,40 - 49,Ogun,Secondary School,"N41,000 - N60,000",Nigerian,7ORO34,COMP_00014,NEGATIVE,detractor,Experienced Professionals,Low Income
8915,1,0.14285714285714285,"ACCESS BANK,",ACCESS BANK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.375,0.125,0.25,0.625,0.75,0.875,0.5,"Customer service in Nigeria's banking sector has seen notable improvements, particularly with the rise of digital solutions like mobile banking and chatbots. Many banks are adopting a more customer-centric approach, offering personalized services and better engagement.",1,7,10,Both Digital and Traditional Channels,"Mobile App,",Female,25 - 29,Bauchi,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N100,000 - N150,000",Nigerian,"Via Social Media (Facebook, Twitter, Instagram Etc)",COMP_00028,POSITIVE,promoter,Early Career,Lower-Middle Income
7807,8,0.14285714285714285,"Nigeria Immigration services (NIS),",NIGERIA IMMIGRATION SERVICES (NIS),0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.125,0.625,0.25,0.375,0.875,0.5,0.75,1.0,Poor,7,1,0,Traditional Channels,"In Person,",Male,40 - 49,Lagos,"Masters, Professorial, Doctorate, Professional Certification",Business Person/Income Not Fixed,Nigerian,"Via Social Media (Facebook, Twitter, Instagram Etc)",COMP_01005,NEGATIVE,detractor,Experienced Professionals,Income not fixed
25908,4,0.2857142857142857,"ABIA  state teaching hospital,",ABIA STATE TEACHING HOSPITAL,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,0.375,0.125,0.25,0.5,0.625,0.75,0.875,Not satisfied,6,3,3,Traditional Channels,"In Person,",Female,25 - 29,Aba,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N31,000 - N40,000",Nigerian,1202854,COMP_00016,NEGATIVE,detractor,Early Career,Low Income
7809,6,0.2857142857142857,"EKO ELECTRICITY DISTRIBUTION COMPANY [EKEDC],",EKO ELECTRICITY DISTRIBUTION COMPANY [EKEDC],0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.125,0.5,0.25,0.375,0.625,0.75,0.875,1.0,Poor,7,1,1,Traditional Channels,"In Writing,In Person,",Male,50 - 59,Delta,"Masters, Professorial, Doctorate, Professional Certification",Business Person/Income Not Fixed,Nigerian,"Via Social Media (Facebook, Twitter, Instagram Etc)",COMP_00398,NEGATIVE,detractor,Senior Professionals,Income not fixed
8944,1,0.42857142857142855,"ACCESS BANK,",ACCESS BANK,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.625,0.75,0.125,0.375,0.5,1.0,0.875,0.25,Not satisfactory,4,2,2,Both Digital and Traditional Channels,"In Person,Mobile App,",Female,30 - 34,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Unemployed/No Earning As At Now,Nigerian,,COMP_00028,NEGATIVE,detractor,Mid-Level Professionals,No Income / Not Earning
9025,1,0.8571428571428571,"ACCESS BANK,",ACCESS BANK,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.25,0.375,0.5,0.625,0.125,0.75,0.875,1.0,Satisfactory,7,6,7,Digital Channels,"Mobile App,",Female,25 - 29,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N100,000 - N150,000",Nigerian,3OA009,COMP_00028,POSITIVE,passive,Early Career,Lower-Middle Income
9051,1,0.2857142857142857,"ACCESS BANK,",ACCESS BANK,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.25,0.625,0.125,0.5,0.375,1.0,0.875,0.75,Dissatisfied,5,2,2,Both Digital and Traditional Channels,"In Person,",Female,30 - 34,Enugu,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N41,000 - N60,000",Nigerian,Umeh Janefrances uche,COMP_00028,NEGATIVE,detractor,Mid-Level Professionals,Low Income
9096,1,0.2857142857142857,"ACCESS BANK,",ACCESS BANK,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.7142857142857143,1.0,0.375,0.125,0.25,0.5,0.75,0.625,0.875,Dissatisfied,3,2,2,Both Digital and Traditional Channels,"Text/Over the Phone,Email,Website,In Person,",Female,18 - 24,Cross River,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Unemployed/No Earning As At Now,Nigerian,Modey Alice Sunday,COMP_00028,NEGATIVE,detractor,Young Adults,No Income / Not Earning
9101,1,0.8571428571428571,"ACCESS BANK,",ACCESS BANK,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,1.0,0.7142857142857143,1.0,0.5,0.125,0.375,0.75,0.625,0.25,0.875,They are dedicated and committed to what they are doing,7,7,8,Both Digital and Traditional Channels,"Mobile App,Email,In Person,",Male,30 - 34,Katsina,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Business Person/Income Not Fixed,Nigerian,1SA070,COMP_00028,POSITIVE,passive,Mid-Level Professionals,Income not fixed
7815,8,0.5714285714285714,"Nigeria Immigration services (NIS),",NIGERIA IMMIGRATION SERVICES (NIS),0.5714285714285714,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.625,0.75,0.125,1.0,0.5,0.875,0.375,0.25,The process takes longer than expected,4,4,6,Traditional Channels,"In Person,",Female,25 - 29,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N100,000 - N150,000",Nigerian,"Via Social Media (Facebook, Twitter, Instagram Etc)",COMP_01005,NEGATIVE,detractor,Early Career,Lower-Middle Income
7816,9,0.5714285714285714,"Eko Hotels,",EKO HOTELS,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.25,0.5,0.375,0.125,0.625,1.0,0.75,0.875,Good,4,3,2,Traditional Channels,"In Person,",Male,40 - 49,Abuja,Vocational/Technical Education,"N200,000 - N300,000",Nigerian,Via My Organization,COMP_00400,POSITIVE,detractor,Experienced Professionals,Middle-High Income
12991,633,0.42857142857142855,UNIVERSITY OF ABUJA [UNIABUJA],UNIVERSITY OF ABUJA [UNIABUJA],0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.375,0.25,0.125,1.0,0.875,0.75,0.625,0.5,Poor,3,3,3,Both Digital and Traditional Channels,"In Person,",Female,40 - 49,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Business Person/Income Not Fixed,Nigerian,,COMP_01461,NEGATIVE,detractor,Experienced Professionals,Income not fixed
